,index,party,color,party_id,yays,nays
1352,3564,CVP,#FFA500,3,34,41
1353,3565,CVP,#FFA500,3,39,36
1354,3566,CVP,#FFA500,3,36,39
1355,3567,CVP,#FFA500,3,33,42
1356,3570,BDP,#800020,5,48,27
1357,3576,Grüne,#008000,4,46,29
1358,3577,Grüne,#008000,4,46,29
1359,3578,Grüne,#008000,4,39,36
1360,3579,Grüne,#008000,4,40,35
1361,3580,Grüne,#008000,4,47,28
1362,3581,BDP,#800020,5,32,43
1363,3584,glp,#32CD32,6,51,24
1367,3591,BDP,#800020,5,42,33
1368,3592,BDP,#800020,5,41,34
1369,3593,Grüne,#008000,4,44,31
1370,3594,BDP,#800020,5,38,37
1372,3596,Grüne,#008000,4,48,27
1373,3597,glp,#32CD32,6,42,33
1374,3598,CVP,#FFA500,3,39,36
1375,3599,CVP,#FFA500,3,30,45
1377,3603,FDP,#4169E1,2,34,41
1379,3605,CVP,#FFA500,3,33,42
1380,3606,CVP,#FFA500,3,31,44
1381,3607,CVP,#FFA500,3,52,23
1382,3608,CVP,#FFA500,3,34,41
1384,3611,SP,#FF0000,1,49,26
1386,3613,SP,#FF0000,1,44,31
1387,3614,SP,#FF0000,1,46,29
1388,3615,SP,#FF0000,1,51,24
1389,3616,FDP,#4169E1,2,35,40
1391,3621,FDP,#4169E1,2,36,39
1393,3623,SVP,#006400,0,42,33
1394,3624,FDP,#4169E1,2,40,35
1396,3626,FDP,#4169E1,2,32,43
1397,3627,glp,#32CD32,6,43,32
1401,3632,SVP,#006400,0,32,43
1402,3633,FDP,#4169E1,2,31,44
1403,3634,FDP,#4169E1,2,46,29
1405,3636,FDP,#4169E1,2,28,47
1406,3637,CVP,#FFA500,3,42,33
1407,3638,CVP,#FFA500,3,34,41
1408,3639,CVP,#FFA500,3,31,44
1410,3650,glp,#32CD32,6,40,35
1414,3655,SP,#FF0000,1,53,22
1415,3658,SVP,#006400,0,32,43
1418,3669,BDP,#800020,5,46,29
1419,3672,glp,#32CD32,6,53,22
1420,3673,Grüne,#008000,4,42,33
1421,3674,glp,#32CD32,6,48,27
1423,3676,SVP,#006400,0,34,41
1424,3677,glp,#32CD32,6,48,27
1426,3679,Grüne,#008000,4,41,34
1427,3681,CVP,#FFA500,3,30,45
1429,3683,CVP,#FFA500,3,33,42
1430,3684,SVP,#006400,0,31,44
1431,3685,SVP,#006400,0,24,51
1432,3686,SVP,#006400,0,25,50
1433,3687,FDP,#4169E1,2,36,39
1434,3688,FDP,#4169E1,2,27,48
1435,3689,FDP,#4169E1,2,28,47
1437,3694,CVP,#FFA500,3,45,30
1438,3695,CVP,#FFA500,3,39,36
1439,3696,CVP,#FFA500,3,39,36
1441,3698,CVP,#FFA500,3,30,45
1442,3700,CVP,#FFA500,3,41,34
1444,3702,CVP,#FFA500,3,32,43
1445,3703,CVP,#FFA500,3,42,33
1446,3704,CVP,#FFA500,3,35,40
1447,3705,FDP,#4169E1,2,34,41
1448,3706,BDP,#800020,5,45,30
1449,3707,BDP,#800020,5,43,32
1450,3708,SP,#FF0000,1,46,29
1451,3709,SP,#FF0000,1,46,29
1452,3710,SP,#FF0000,1,49,26
1453,3711,SP,#FF0000,1,48,27
1455,3713,SVP,#006400,0,31,44
1456,3714,FDP,#4169E1,2,38,37
1457,3715,FDP,#4169E1,2,28,47
1458,3717,FDP,#4169E1,2,25,50
1459,3719,glp,#32CD32,6,46,29
1460,3720,SVP,#006400,0,24,51
1461,3721,CVP,#FFA500,3,37,38
1463,3725,CVP,#FFA500,3,33,42
1464,3726,CVP,#FFA500,3,36,39
1465,3727,CVP,#FFA500,3,48,27
1466,3728,CVP,#FFA500,3,33,42
1468,3730,FDP,#4169E1,2,46,29
1469,3731,SP,#FF0000,1,43,32
1470,3732,SVP,#006400,0,46,29
1471,3733,SVP,#006400,0,30,45
1472,3746,Grüne,#008000,4,43,32
1473,3749,Grüne,#008000,4,41,34
1474,3750,Grüne,#008000,4,50,25
1476,3752,CVP,#FFA500,3,38,37
1477,3756,Grüne,#008000,4,43,32
1479,3758,Grüne,#008000,4,39,36
1480,3760,BDP,#800020,5,41,34
1481,3761,BDP,#800020,5,48,27
1482,3762,glp,#32CD32,6,48,27
1483,3763,SVP,#006400,0,28,47
1484,3764,BDP,#800020,5,48,27
1486,3768,Grüne,#008000,4,39,36
1487,3769,BDP,#800020,5,44,31
1488,3770,BDP,#800020,5,49,26
1489,3771,CVP,#FFA500,3,29,46
1490,3772,Grüne,#008000,4,45,30
1491,3773,FDP,#4169E1,2,40,35
1492,3774,FDP,#4169E1,2,32,43
1494,3777,FDP,#4169E1,2,33,42
1495,3778,CVP,#FFA500,3,43,32
1496,3779,CVP,#FFA500,3,37,38
1498,3781,CVP,#FFA500,3,41,34
1499,3782,CVP,#FFA500,3,30,45
1500,3783,CVP,#FFA500,3,44,31
1501,3784,SP,#FF0000,1,46,29
1502,3785,SP,#FF0000,1,28,47
1503,3786,SP,#FF0000,1,47,28
1504,3787,SP,#FF0000,1,45,30
1505,3788,SP,#FF0000,1,44,31
1506,3789,SP,#FF0000,1,47,28
1507,3790,SP,#FF0000,1,42,33
1508,3791,SP,#FF0000,1,48,27
1509,3792,Grüne,#008000,4,44,31
1511,3796,FDP,#4169E1,2,43,32
1512,3797,Grüne,#008000,4,46,29
1514,3799,glp,#32CD32,6,37,38
1515,3801,CVP,#FFA500,3,25,50
1516,3802,CVP,#FFA500,3,35,40
1517,3804,SP,#FF0000,1,47,28
1518,3805,CVP,#FFA500,3,33,42
1520,3809,glp,#32CD32,6,43,32
1521,3810,FDP,#4169E1,2,31,44
1522,3814,SVP,#006400,0,35,40
1523,3816,SVP,#006400,0,34,41
1526,3824,FDP,#4169E1,2,24,51
1527,3826,glp,#32CD32,6,37,38
1528,3834,FDP,#4169E1,2,37,38
1529,3837,CVP,#FFA500,3,43,32
1530,3838,CVP,#FFA500,3,52,23
1531,3840,SVP,#006400,0,34,41
1532,3847,Grüne,#008000,4,41,34
1533,3849,BDP,#800020,5,35,40
1534,3850,BDP,#800020,5,32,43
1535,3851,glp,#32CD32,6,45,30
1536,3852,Grüne,#008000,4,47,28
1538,3854,glp,#32CD32,6,44,31
1540,3857,glp,#32CD32,6,54,21
1541,3858,CVP,#FFA500,3,42,33
1543,3860,SVP,#006400,0,30,45
1544,3861,FDP,#4169E1,2,28,47
1545,3862,FDP,#4169E1,2,32,43
1546,3863,FDP,#4169E1,2,25,50
1548,3865,CVP,#FFA500,3,34,41
1549,3866,CVP,#FFA500,3,38,37
1550,3867,CVP,#FFA500,3,31,44
1551,3870,CVP,#FFA500,3,35,40
1552,3871,CVP,#FFA500,3,46,29
1553,3872,SP,#FF0000,1,49,26
1555,3874,SP,#FF0000,1,44,31
1557,3876,SP,#FF0000,1,50,25
1558,3877,Grüne,#008000,4,48,27
1559,3878,SVP,#006400,0,27,48
1560,3882,SVP,#006400,0,38,37
1561,3884,glp,#32CD32,6,43,32
1562,3886,SVP,#006400,0,32,43
1563,3887,CVP,#FFA500,3,26,49
1564,3889,CVP,#FFA500,3,38,37
1566,3891,SP,#FF0000,1,45,30
1567,3894,CVP,#FFA500,3,45,30
1569,3896,CVP,#FFA500,3,32,43
1571,3898,FDP,#4169E1,2,32,43
1572,3899,SVP,#006400,0,28,47
1573,3905,SVP,#006400,0,37,38
1574,3906,SVP,#006400,0,30,45
1575,3907,SVP,#006400,0,44,31
1576,3908,SVP,#006400,0,33,42
1577,3917,FDP,#4169E1,2,29,46
1578,3920,glp,#32CD32,6,46,29
1579,3923,Grüne,#008000,4,47,28
1580,3924,SVP,#006400,0,42,33
1582,3926,BDP,#800020,5,51,24
1583,3928,Grüne,#008000,4,52,23
1584,3929,FDP,#4169E1,2,35,40
1585,3930,Grüne,#008000,4,42,33
1586,3932,BDP,#800020,5,47,28
1587,3933,BDP,#800020,5,45,30
1588,3934,BDP,#800020,5,35,40
1589,3935,BDP,#800020,5,36,39
1591,3937,Grüne,#008000,4,43,32
1592,3940,glp,#32CD32,6,49,26
1595,3944,Grüne,#008000,4,38,37
1596,3945,FDP,#4169E1,2,42,33
1598,3947,FDP,#4169E1,2,39,36
1599,3949,Grüne,#008000,4,42,33
1600,3950,CVP,#FFA500,3,37,38
1602,3952,CVP,#FFA500,3,37,38
1603,3953,CVP,#FFA500,3,30,45
1604,3954,CVP,#FFA500,3,49,26
1605,3956,CVP,#FFA500,3,35,40
1606,3957,SP,#FF0000,1,42,33
1607,3958,SP,#FF0000,1,43,32
1608,3959,SP,#FF0000,1,48,27
1610,3962,SVP,#006400,0,29,46
1611,3967,SVP,#006400,0,33,42
1612,3968,glp,#32CD32,6,36,39
1613,3969,glp,#32CD32,6,48,27
1614,3970,glp,#32CD32,6,54,21
1615,3971,glp,#32CD32,6,41,34
1616,3972,CVP,#FFA500,3,42,33
1617,3973,CVP,#FFA500,3,30,45
1618,3974,Grüne,#008000,4,41,34
1619,3975,SP,#FF0000,1,46,29
1620,3976,FDP,#4169E1,2,35,40
1621,3978,SP,#FF0000,1,46,29
1622,3980,SP,#FF0000,1,43,32
1623,3981,SP,#FF0000,1,45,30
1624,3986,SVP,#006400,0,32,43
1625,3992,SVP,#006400,0,24,51
